Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
88681,4.271E+04,7830,2600,1322,1.72E+04,688.8
88688,1.425E+04,5188,1431,668.6,8622,502.6
88795,2.731E+04,4624,1716,637.1,6781,535.8
88895,3.127E+04,1.88E+04,297.6,348.3,766.9,271.4
88896,2.259E+04,7546,107.1,125,249.8,124
88898,2E+05,8.578E+04,294.2,282.5,42.99,16.47
88903,1.771E+05,3.388E+04,1.334E+04,1.398E+04,3.28E+04,1.075E+04
88919,2.632E+04,3871,726,465.5,6308,425.6
88973,2.21E+04,6894,217.8,2850,4.735E+04,363.3
88989,4.821E+04,9465,167.2,1297,2.423E+04,259.9
89015,5.908E+05,8.222E+05,6.801E+04,1.825E+06,2.427E+06,3386
89194,3.933E+04,6.119E+04,108.4,566.3,5729,148
89217,1.556E+04,1717,64.26,156.9,2937,84.59
89228,2.492E+04,6432,119.1,767.1,1.013E+04,199
89229,7.867E+04,7.621E+04,313.2,5501,7.16E+04,364.4
89239,2.909E+04,1.046E+04,1481,972.2,1.481E+04,494
89301,2.488E+04,7267,1582,1015,1.48E+04,498.5
89357,1.487E+04,2703,973.6,691.7,8376,422.1
89358,2.149E+05,4.453E+04,6330,1.773E+04,3.595E+04,5450
89370,2.375E+04,4901,1088,765.7,1.156E+04,379.7
89403,1.257E+05,2.517E+04,173.4,120.4,187.5,391.9
89404,5.057E+04,1.856E+04,93.83,54.14,85.25,229
89458,5.88E+04,2.626E+04,193.5,2802,4.108E+04,430.7
89466,1.657E+04,1800,159.8,983.8,1.279E+04,276.1
89514,1.046E+04,2270,81.92,211,4493,104.4
89549,2.206E+04,4627,2308,1214,1.695E+04,738.2
89570,9399,1074,13.47,32.47,48.4,17.52
89587,1.934E+04,1263,35.52,40.03,72,76.18
89588,1.804E+04,851.7,25.54,64.7,121.3,55.65
89617,1.286E+04,1603,87.56,136.3,248.3,126
89643,3.039E+04,3677,1816,952.7,1.228E+04,577.6
89645,1.678E+04,3574,99.98,382.1,4078,172.8
89686,3.871E+04,2898,49.38,56.85,80,40.44
89692,9522,908.9,90.61,183.2,3838,116.1
89754,3.138E+04,5893,1218,713,9887,380.1
89756,6.657E+04,6.572E+04,2.606E+04,9741,5.897E+04,1818
