Ecotaxa_annotation_category,Ecotaxa_annotation_hierarchy,Full_hierarchy,Rank,Type,Domain,Phylum,Class,Order,Family,Genus,Functional_group,WORMS_ID,Reference,Citation
Asplanchna,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Rotifera>Monogononta>Ploimida>Asplanchnidae>Asplanchna,Animalia(Kingdom)>Rotifera(Phylum)>Eurotatoria(Class)>Monogononta(Subclass)>Pseudotrocha(Superorder)>Ploima(Order)>Asplanchnidae(Family)>Asplanchna(Genus),Genus,Living,Animalia,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,,urn:lsid:marinespecies.org:taxname:134935,"Gosse, P. H. (1850). Description of Asplanchna priodonta, an animal of the Class Rotifera. The Annals and Magazine of Natural History, (ser. 2) 6, 18-24, pl.1-2","Segers,H.(Ed.)(2025).WorldRotiferadatabase(FADA).AsplanchnaGosse,1850.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=134935on2025-08-04"
Keratella,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Rotifera>Monogononta>Ploimida>Brachionidae>Keratella,Animalia(Kingdom)>Rotifera(Phylum)>Eurotatoria(Class)>Monogononta(Subclass)>Pseudotrocha(Superorder)>Ploima(Order)>Brachionidae(Family)>Keratella(Genus),Genus,Living,Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,,urn:lsid:marinespecies.org:taxname:134941,"Bory de Saint-Vincent, J. B. M. (1822). Dictionnaire Classique d'Histoire Naturelle. Tome second [vol. 2]. <em>Paris. Rey & Gravier, libraires-éditeurs; Baudouin Frères, libraires-éditeurs.</em> ","Segers,H.(Ed.)(2025).WorldRotiferadatabase(FADA).KeratellaBorydeSt.Vincent,1822.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=134941on2025-08-04"
Polyarthra,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Rotifera>Monogononta>Ploimida>Synchaetidae>Polyarthra,Animalia(Kingdom)>Rotifera(Phylum)>Eurotatoria(Class)>Monogononta(Subclass)>Pseudotrocha(Superorder)>Ploima(Order)>Synchaetidae(Family)>Polyarthra(Genus),Genus,Living,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,,urn:lsid:marinespecies.org:taxname:134957,"Ehrenberg, C.G. (1834). Dritter Beitrag zur Erkenntniss grosser Organisation in der Richtung des kleinsten Raumes. <em>Abhandlungen der Königlichen Akademie der Wissenschaften zu Berlin.</em> 1833: 145-336, pls I-XIII [1-11].","Segers,H.(Ed.)(2025).WorldRotiferadatabase(FADA).PolyarthraEhrenberg,1834.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=134957on2025-08-04"
Cryptophyta,living>Eukaryota>Orphans>Cryptophyta,Chromista(Kingdom)>Hacrobia(Subkingdom)>Cryptophyta(Phylum),Phylum,Living,Chromista,Cryptophyta,,,,,,urn:lsid:marinespecies.org:taxname:17638,"Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. <em>World-wide electronic publication, National University of Ireland, Galway.</em> searched on YYYY-MM-DD.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).Cryptophyta.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=17638on2025-08-04"
Cryptomonas,living>Eukaryota>Orphans>Cryptophyta>Cryptomonadales>Cryptomonas,Chromista(Kingdom)>Hacrobia(Subkingdom)>Cryptophyta(Phylum)>Cryptophyceae(Class)>Cryptomonadales(Order)>Cryptomonadaceae(Family)>Cryptomonas(Genus),Genus,Living,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,,urn:lsid:marinespecies.org:taxname:106282,"Brandt, S. (2001). Cryptophytes, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 59","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).CryptomonasEhrenberg,1831.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=106282on2025-08-04"
Cryptophyceae,living>Eukaryota>Orphans>Cryptophyta>Cryptophyceae,Chromista(Kingdom)>Hacrobia(Subkingdom)>Cryptophyta(Phylum)>Cryptophyceae(Class),Class,Living,Chromista,Cryptophyta,Cryptophyceae,,,,,urn:lsid:marinespecies.org:taxname:17639,Integrated Taxonomic Information System (ITIS). ,"Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).Cryptophyceae.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=17639on2025-08-04"
Haptophyta,living>Eukaryota>Orphans>Haptophyta,Chromista(Kingdom)>Hacrobia(Subkingdom)>Haptophyta(Phylum),Phylum,Living,Chromista,Haptophyta,,,,,,urn:lsid:marinespecies.org:taxname:369190,,WoRMS(2025).Haptophyta.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=369190on2025-08-04
Pteropoda,living>Eukaryota>Pteropoda,Animalia(Kingdom)>Mollusca(Phylum)>Gastropoda(Class)>Heterobranchia(Subclass)>Euthyneura(Infraclass)>Tectipleura(Subterclass)>Pteropoda(Order),Order,Living,Animalia,Mollusca,Gastropoda,Pteropoda,,,,urn:lsid:marinespecies.org:taxname:325345,"Bouchet P., Rocroi J.P., Hausdorf B., Kaim A., Kano Y., Nützel A., Parkhaev P., Schrödl M. & Strong E.E. (2017). Revised classification, nomenclator and typification of gastropod and monoplacophoran families. <em>Malacologia.</em> 61(1-2): 1-526.",MolluscaBaseeds.(2025).MolluscaBase.Pteropoda.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=325345on2025-08-04
detritus,,not-living>detritus,,,,,,,,,,,,
artefact,,not-living>artefact,,,,,,,,,,,,
t003,,temporary>t003,,,,,,,,,,,,
t004,,temporary>t004,,,,,,,,,,,,
t006,,temporary>t006,,,,,,,,,,,,
plastic,,not-living>plastic,,,,,,,,,,,,
bubble,,not-living>artefact>bubble,,,,,,,,,,,,
badfocus,,not-living>artefact>badfocus,,,,,,,,,,,,
part,,living>other>part,,,,,,,,,,,,
fiber,,not-living>detritus>fiber,,,,,,,,,,,,
uncertain,,temporary>uncertain,,,,,,,,,,,,
ghost,,not-living>artefact>ghost,,,,,,,,,,,,
aggregates,,not-living>detritus>aggregates,,,,,,,,,,,,
fecal pellets,,not-living>detritus>fecal pellets,,,,,,,,,,,,
zooplankton,,living>zooplankton,,,,,,,,,,,,
t001,,temporary>t001,,,,,,,,,,,,
t002,,temporary>t002,,,,,,,,,,,,
t005,,temporary>t005,,,,,,,,,,,,
t007,,temporary>t007,,,,,,,,,,,,
fiber,,not-living>plastic>fiber,,,,,,,,,,,,
t010,,temporary>t010,,,,,,,,,,,,
bead,,not-living>artefact>bead,,,,,,,,,,,,
Dinoflagellates,,living>Eukaryota>Dinoflagellates,,,,,,,,,,,,
