Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
6304,2526,2198,32.29,44.87,201.6,75.01
6310,2.605E+04,1.762E+04,122.3,78.23,103.7,186.3
6315,7408,631.2,22.75,119.8,2589,32.58
6316,43.09,772.5,26.48,21.22,44.67,30.77
6326,2015,362.8,18.2,61.22,826.4,23.98
6327,1.544E+04,2546,42.46,625.2,1.019E+04,78.3
6334,5139,1349,33.99,325.1,3845,52.61
6340,3.731E+04,7.554E+04,2.584E+04,1.185E+04,1.002E+05,1918
6341,2.513E+04,4268,1794,695.9,8705,440.7
6350,3044,4551,112.4,238.8,519,216.4
6360,1.442E+04,3164,1292,1556,3531,1173
6366,193.3,657.3,21.05,18.54,34.11,34.55
6370,5402,1138,34.18,93.21,2416,49.97
6381,4582,579.7,22.9,71.88,1242,34.42
6388,3042,983.8,29.07,394.2,4508,43.89
6394,3.253E+04,8718,2448,1143,1.587E+04,647.2
6402,6392,538.9,14.29,112.2,2423,43.55
6405,2.008E+04,3519,2807,811.9,8574,730.1
6407,2.547E+04,6412,1707,1106,1.803E+04,477.7
6419,3186,703.2,38.75,68.73,1427,35.43
6421,2334,736.2,19.99,24.39,112.8,51.86
6427,1.01E+04,2786,38.44,121.6,2749,57.57
6433,1.032E+04,1610,95.55,326,3333,130
6435,4766,284.5,11.27,69.48,1691,23.28
6436,1.036E+04,1.71E+04,81.57,50.11,78.26,105.9
6441,4.814E+04,5.638E+04,102.5,116.9,138.5,122.6
6443,319.7,535.4,21.82,18.78,49.23,25.86
6449,748.4,403.8,30.15,25.43,30.56,54.39
6450,8286,714.8,18.92,171.8,2610,20.57
6453,627.3,289.6,16.84,12.19,29.11,23.5
6457,1416,544.8,84.16,130.8,270,100.3
6462,6202,1404,49.74,97.76,2085,41.64
6477,6107,699.9,23.6,66.77,1069,27.1
6504,2626,715.3,42.97,57.64,922.7,34.4
6506,4951,289.6,13.35,74.15,1382,16.74
6513,8015,841.3,23.07,243.9,3356,46.7
6527,4.823E+04,4289,39.38,40.18,74.71,76.28
6535,756,442.4,28.35,22.17,46.24,30.64
6539,9205,1749,30.29,88.43,1381,47.2
6542,1.533E+04,3001,61.22,61.47,336.4,76.18
6543,67.61,3149,53.85,29.11,51.18,49.24
6569,1.108E+04,675.2,17.26,381.3,7700,20.85
6573,4975,2869,36.25,37.46,68.65,67.39
6590,1904,755.1,21.78,404.3,4833,29.76
6599,2679,1152,32.13,453.6,5031,58.43
6600,789.1,1245,82.08,58,134.6,109
6606,6003,674.9,28.19,427.7,5750,60.72
6607,6591,1.231E+04,47.86,51.82,57.41,67.66
6613,2541,613,17.08,220.9,2301,44.51
6617,3.851E+04,8766,42.69,44.32,83.61,71.05
6627,2.379E+04,4810,1599,740.4,9950,372.5
6639,2935,374.2,25.72,38.11,621.8,33.08
6667,4202,372.1,15.67,120.8,1132,25.68
6672,8742,956.7,37.9,268.8,4260,34.79
6683,1.724E+04,2757,38.74,46.6,97.38,44.83
6719,329.9,419.5,18.98,15.93,35.33,26.26
6721,3488,1203,25.89,85.9,1528,36.37
6725,2035,839.1,173.9,217.1,462.4,160.1
6726,1312,272.1,14.99,26.12,294.6,20.44
6742,2146,671.1,33.81,73.12,876.2,22.8
6744,3203,353.3,14.78,55.39,742.3,16.55
6761,8301,715.4,22.5,243.3,4157,39.02
6767,1.919E+04,4108,1458,568.9,7224,407.2
6773,6589,444.2,22.21,182,2686,29.36
6780,1.006E+04,789.6,29.6,151.9,2494,26.95
6782,3.296E+04,1.934E+04,71.68,2481,3.648E+04,98.92
6797,5185,480.8,25.5,113.9,1702,24.5
6811,6115,776.7,25.94,85.78,1263,35.22
6812,120.9,1226,38.7,23,47.2,34.43
6819,7404,771.7,26.62,165.6,2518,36.76
6829,1464,536.1,18.45,19.35,41.94,33.8
6833,1110,607.9,62.8,66.04,120.3,65.72
6856,1175,347.1,155.5,135.1,318,202.2
6871,1284,766.9,29.39,25.19,52.52,62.77
6874,3054,736.7,18.47,48.62,157.5,68.96
6876,2.916E+04,9753,71.08,2476,3.194E+04,92.93
6879,2.168E+04,5728,594.1,1526,3332,577.7
6908,3.107E+04,2679,58.53,53.22,101.1,97.74
6910,8243,1020,20.69,119.2,2832,49.35
6930,8934,8972,97.64,164.6,590.5,144.5
6943,2.925E+04,6551,3810,1007,1.143E+04,998.9
6944,665.8,1350,40.02,75.41,246.4,65.57
6956,7505,1607,29.32,117.2,166,53.07
6961,3.024E+04,5699,719.9,657.3,1.146E+04,232.1
6963,2.405E+04,4296,1326,564,7985,324.4
